trading_date,open,high,low,close,range_pips,return_pips,day_name,dow,week_key
2000-05-31,0.9302,0.9379,0.9151,0.9304,227.99999999999932,1.9999999999997797,Wednesday,2,2000-W22
2000-06-01,0.9379,0.9382,0.9287,0.9315,95.00000000000064,-63.999999999999616,Thursday,3,2000-W22
2000-06-02,0.9316,0.9498,0.9302,0.944,195.99999999999952,123.99999999999966,Friday,4,2000-W22
2000-06-05,0.9461,0.949,0.9416,0.9483,73.99999999999962,21.999999999999797,Monday,0,2000-W23
2000-06-06,0.9481,0.9603,0.9456,0.9549,147.00000000000045,67.99999999999918,Tuesday,1,2000-W23
2000-06-07,0.9547,0.9631,0.9535,0.962,95.99999999999942,72.99999999999973,Wednesday,2,2000-W23
2000-06-08,0.9622,0.9704,0.9512,0.9563,191.99999999999994,-59.00000000000016,Thursday,3,2000-W23
2000-06-09,0.9563,0.9563,0.9463,0.9523,100.00000000000009,-40.000000000000036,Friday,4,2000-W23
2000-06-12,0.9535,0.9562,0.9494,0.9542,68.00000000000028,7.000000000000339,Monday,0,2000-W24
2000-06-13,0.954,0.9628,0.9523,0.9599,104.99999999999955,59.00000000000016,Tuesday,1,2000-W24
2000-06-14,0.9597,0.9655,0.9574,0.958,80.99999999999996,-17.000000000000348,Wednesday,2,2000-W24
2000-06-15,0.9577,0.9607,0.9504,0.9548,102.99999999999976,-29.000000000000135,Thursday,3,2000-W24
2000-06-16,0.9547,0.9661,0.9523,0.9649,137.99999999999923,101.99999999999987,Friday,4,2000-W24
2000-06-19,0.9647,0.9694,0.9567,0.9569,127.00000000000044,-78.00000000000028,Monday,0,2000-W25
2000-06-20,0.957,0.9617,0.9532,0.955,84.99999999999952,-20.000000000000018,Tuesday,1,2000-W25
2000-06-21,0.9549,0.955,0.9433,0.9445,116.99999999999933,-103.99999999999964,Wednesday,2,2000-W25
2000-06-22,0.9444,0.9476,0.9349,0.9357,127.00000000000044,-87.00000000000041,Thursday,3,2000-W25
2000-06-23,0.9358,0.9433,0.9342,0.9367,90.99999999999997,9.000000000000119,Friday,4,2000-W25
2000-06-26,0.9362,0.9399,0.9299,0.937,100.00000000000009,8.00000000000023,Monday,0,2000-W26
2000-06-27,0.9371,0.9472,0.9367,0.9463,105.00000000000065,91.99999999999986,Tuesday,1,2000-W26
2000-06-28,0.9462,0.947,0.9394,0.9407,75.9999999999994,-55.000000000000604,Wednesday,2,2000-W26
2000-06-29,0.9408,0.954,0.9407,0.9523,132.99999999999977,115.00000000000065,Thursday,3,2000-W26
2000-06-30,0.9524,0.9604,0.9509,0.9538,95.00000000000064,13.999999999999568,Friday,4,2000-W26
2000-07-03,0.9526,0.9549,0.9485,0.9522,63.999999999999616,-3.9999999999995595,Monday,0,2000-W27
2000-07-04,0.9508,0.9511,0.9467,0.9498,43.999999999999595,-10.000000000000009,Tuesday,1,2000-W27
2000-07-05,0.9516,0.9573,0.9513,0.953,60.00000000000006,13.999999999999568,Wednesday,2,2000-W27
