trading_date,session,block_high,block_high_first,block_low,block_low_first,block_open,block_close,block_range_pips,block_return_pips,daily_range_pips,contribution_pct,daily_open,daily_close,price_at_ny_start,direction_pre_ny,direction_result,extension_pips,asia_high,london_high,high_before_ny,low_before_ny,new_high,new_low,session_of_high_before,session_of_low_before
2000-05-30,NY,0.9338,0.9296,0.9269,0.9294,0.9294,0.9279,24.00000000000069,-15.000000000000568,76.99999999999929,31.16883116883235,0.9302,0.9304,0.9293,BEARISH,DOWN,-14.000000000000679,False,False,0.935,0.9282,False,True,Post-London,London
2000-05-31,NY,0.9336,0.9332,0.93,0.9332,0.9332,0.9318,12.999999999999678,-14.00000000000068,80.99999999999996,16.049382716048992,0.9379,0.9315,0.9331,BEARISH,DOWN,-13.000000000000789,False,False,0.938,0.9324,False,True,London,London
2000-06-01,NY,0.9498,0.9359,0.9339,0.9359,0.9359,0.9445,24.999999999999467,86.00000000000053,24.999999999999467,100.0,0.9316,0.944,0.9357,BULLISH,UP,88.0000000000003,False,True,0.9373,0.9302,True,False,London,Asia
2000-06-04,NY,0.9461,0.9436,0.9416,0.9435,0.9435,0.9461,7.000000000000339,26.00000000000047,14.999999999999458,46.666666666670615,0.9461,0.9483,0.9434,BEARISH,UP,27.000000000000355,True,False,0.9461,0.9423,False,True,Post-Asia,Post-London
2000-06-05,NY,0.9603,0.9478,0.9476,0.9478,0.9478,0.96,15.000000000000568,121.99999999999989,15.000000000000568,100.0,0.9481,0.9549,0.9479,BEARISH,UP,121.0,False,False,0.9516,0.9456,True,False,London,Post-London
2000-06-06,NY,0.9606,0.9566,0.9538,0.9565,0.9566,0.9572,10.9999999999999,6.000000000000449,35.00000000000058,31.428571428570617,0.9547,0.962,0.9565,BULLISH,UP,7.000000000000339,False,True,0.9595,0.9535,True,False,London,Asia
2000-06-07,NY,0.9704,0.9674,0.9513,0.9669,0.9669,0.9535,21.9999999999998,-133.9999999999997,24.00000000000069,91.6666666666632,0.9622,0.9563,0.9667,BULLISH,DOWN,-131.9999999999999,False,False,0.9671,0.9573,True,True,Post-London,London
2000-06-08,NY,0.9535,0.9516,0.9463,0.9516,0.9516,0.9517,16.00000000000046,0.99999999999989,16.00000000000046,100.0,0.9563,0.9523,0.9521,BEARISH,DOWN,-3.9999999999995595,False,False,0.9563,0.952,False,True,Asia,Post-London
2000-06-11,NY,0.9554,0.9528,0.9524,0.9528,0.9528,0.954,7.000000000000339,11.999999999999789,10.000000000000009,70.00000000000333,0.9535,0.9542,0.9529,BEARISH,UP,10.999999999999899,True,False,0.9551,0.9494,True,False,Post-London,Asia
2000-06-12,NY,0.9628,0.9585,0.9577,0.9584,0.9585,0.9606,10.9999999999999,20.999999999999908,16.00000000000046,68.7499999999974,0.954,0.9599,0.9586,BULLISH,UP,20.000000000000018,False,True,0.96,0.9523,True,False,London,Asia
2000-06-13,NY,0.9651,0.9641,0.9577,0.9641,0.9641,0.9597,14.00000000000068,-43.9999999999996,14.00000000000068,100.0,0.9597,0.958,0.9643,BULLISH,DOWN,-46.00000000000048,False,False,0.9655,0.9596,False,True,London,Asia
2000-06-14,NY,0.9555,0.9524,0.952,0.952,0.9524,0.9525,5.999999999999339,0.99999999999989,10.000000000000009,59.999999999993335,0.9577,0.9548,0.9534,BEARISH,DOWN,-9.000000000000119,False,False,0.9607,0.9504,False,False,London,Post-London
2000-06-15,NY,0.9623,0.9569,0.9563,0.9564,0.9564,0.9611,9.000000000000119,46.99999999999926,11.999999999999789,75.0000000000023,0.9547,0.9649,0.9563,BULLISH,UP,47.999999999999154,False,False,0.9595,0.9523,True,False,Post-London,London
2000-06-18,NY,0.9644,0.9643,0.9589,0.9643,0.9643,0.9604,10.9999999999999,-39.00000000000014,10.9999999999999,100.0,0.9647,0.9569,0.9641,BEARISH,DOWN,-36.999999999999254,False,False,0.9694,0.9632,False,True,London,London
2000-06-19,NY,0.9575,0.9543,0.9532,0.9542,0.9543,0.9561,8.00000000000023,17.999999999999126,11.999999999999789,66.66666666666976,0.957,0.955,0.9544,BEARISH,UP,16.99999999999924,False,True,0.9617,0.9538,False,True,London,Post-London
2000-06-20,NY,0.9476,0.9476,0.9453,0.9476,0.9476,0.9464,6.000000000000449,-11.999999999999789,14.00000000000068,42.85714285714399,0.9549,0.9445,0.9475,BEARISH,DOWN,-10.999999999999899,False,False,0.9549,0.9465,False,True,Asia,Post-London
2000-06-21,NY,0.9441,0.9409,0.9384,0.9408,0.9409,0.9394,6.999999999999229,-14.999999999999458,20.999999999999908,33.333333333329804,0.9444,0.9357,0.9408,BEARISH,DOWN,-13.999999999999568,False,False,0.9476,0.9388,False,True,Post-Asia,Post-London
2000-06-22,NY,0.9426,0.9422,0.9364,0.9422,0.9422,0.9366,10.000000000000009,-56.0000000000005,11.999999999999789,83.33333333333488,0.9358,0.9367,0.9427,BULLISH,DOWN,-60.99999999999994,True,False,0.9433,0.9353,False,False,Post-London,London
2000-06-25,NY,0.9383,0.9332,0.9323,0.933,0.933,0.9381,9.000000000000119,50.999999999999936,10.000000000000009,90.00000000000111,0.9362,0.937,0.9329,BEARISH,UP,52.00000000000094,False,False,0.9379,0.9299,True,False,London,London
2000-06-26,NY,0.9447,0.9408,0.9374,0.9407,0.9407,0.9429,24.999999999999467,21.9999999999998,24.999999999999467,100.0,0.9371,0.9463,0.9408,BULLISH,UP,20.999999999999908,False,False,0.9419,0.9371,True,False,London,Asia
2000-06-27,NY,0.9466,0.9419,0.94,0.9414,0.9414,0.9461,10.000000000000009,47.00000000000038,14.00000000000068,71.42857142856803,0.9462,0.9407,0.9415,BEARISH,UP,46.00000000000048,False,False,0.947,0.9409,False,True,London,Post-London
